"article.id","segment_n","just.dist","idseg","stat_sig","percent_diff","season","matrix_type","edge_orient","edge_age_years","SD_SE_CI_V","SD_SE_CI_V_n","full_diff","PAR_var","PAR_var_n","percentPAR_diff","RH_var","RH_var_n","percentrh_diff","SM_var","SM_var_n","percentsm_diff","ST_var","ST_var_n","percentst_diff","VPD_var","VPD_var_n","percentVPD_diff","WS_var","WS_var_n","percentws_diff"
"8","d",5,"8 d",NA,1,NA,"oak.forest","S",NA,NA,NA,0.109999999999999,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","d",50,"8 d",NA,2,NA,"oak.forest","S",NA,NA,NA,0.16,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","d",100,"8 d",NA,0,NA,"oak.forest","S",NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,0,"10 NA",NA,0,"spring",NA,NA,NA,"SD",2.8,0,"SD",214,274,"SD",7.8,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,120,"10 NA",NA,0,"spring",NA,NA,NA,"SD",2.9,0,"SD",30.8,0,"SD",8.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","a",-10,"12 a","N",13,"dry","ag.field",NA,NA,"SE",0.37,3.54,NA,NA,NA,"SE",3.12,-22,NA,NA,NA,"SE",0.46,13,NA,NA,NA,NA,NA,NA
"12","a",0,"12 a","N",5,"dry","ag.field",NA,NA,"SE",0.38,1.36,NA,NA,NA,"SE",3.56,-5,NA,NA,NA,"SE",0.45,4,NA,NA,NA,NA,NA,NA
"12","a",30,"12 a","N",0,"dry","ag.field",NA,NA,"SE",0.35,0,NA,NA,NA,"SE",1.42,0,NA,NA,NA,"SE",0.46,0,NA,NA,NA,NA,NA,NA
"12","b",-10,"12 b","N",11,"dry","ag.field",NA,NA,"SE",0.44,2.99,NA,NA,NA,"SE",2.05,-25,NA,NA,NA,"SE",0.53,12,NA,NA,NA,NA,NA,NA
"12","b",0,"12 b","N",4,"dry","ag.field",NA,NA,"SE",0.36,1.06,NA,NA,NA,"SE",1.78,-13,NA,NA,NA,"SE",0.45,5,NA,NA,NA,NA,NA,NA
"12","b",30,"12 b","N",0,"dry","ag.field",NA,NA,"SE",0.21,0,NA,NA,NA,"SE",4.03,0,NA,NA,NA,"SE",0.57,0,NA,NA,NA,NA,NA,NA
"12","c",-10,"12 c","N",12,"dry","ag.field",NA,NA,"SE",0.41,3.03,NA,NA,NA,"SE",2.21,-26,NA,NA,NA,"SE",0.52,15,NA,NA,NA,NA,NA,NA
"12","c",0,"12 c","N",3,"dry","ag.field",NA,NA,"SE",0.49,0.670000000000002,NA,NA,NA,"SE",2.37,-8,NA,NA,NA,"SE",0.24,2,NA,NA,NA,NA,NA,NA
"12","c",30,"12 c","N",0,"dry","ag.field",NA,NA,"SE",0.33,0,NA,NA,NA,"SE",3.48,0,NA,NA,NA,"SE",0.26,0,NA,NA,NA,NA,NA,NA
"13",NA,0,"13 NA","Y",6,"wet","sandscrub",NA,NA,NA,NA,1.64,NA,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
"13",NA,10,"13 NA","N",2,"wet","sandscrub",NA,NA,NA,NA,0.640000000000001,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"13",NA,20,"13 NA","N",1,"wet","sandscrub",NA,NA,NA,NA,0.220000000000002,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"13",NA,30,"13 NA","N",0,"wet","sandscrub",NA,NA,NA,NA,-0.0299999999999976,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17
"13",NA,40,"13 NA","N",0,"wet","sandscrub",NA,NA,NA,NA,0.0500000000000007,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"13",NA,50,"13 NA","N",0,"wet","sandscrub",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"14",NA,0,"14 NA","Y",4,"dry","pasture",NA,NA,"SD",2.2,1.1,NA,NA,NA,"SD",18.1,-12,NA,NA,NA,"SD",1.3,2,NA,NA,NA,NA,NA,NA
"14",NA,40,"14 NA","Y",4,"dry","pasture",NA,NA,"SD",2.1,1,NA,NA,NA,"SD",17.2,-9,NA,NA,NA,"SD",1,0,NA,NA,NA,NA,NA,NA
"14",NA,80,"14 NA","N",0,"dry","pasture",NA,NA,"SD",1.8,0.100000000000001,NA,NA,NA,"SD",16.5,-5,NA,NA,NA,"SD",0.9,0,NA,NA,NA,NA,NA,NA
"14",NA,120,"14 NA","N",0,"dry","pasture",NA,NA,"SD",1.7,0,NA,NA,NA,"SD",16.2,-1,NA,NA,NA,"SD",0.9,0,NA,NA,NA,NA,NA,NA
"14",NA,160,"14 NA","N",0,"dry","pasture",NA,NA,"SD",1.8,0,NA,NA,NA,"SD",16.3,0,NA,NA,NA,"SD",0.9,0,NA,NA,NA,NA,NA,NA
"15","a",-10,"15 a",NA,19,"summer","field","S",5,"SD",0,3.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0,12,NA,NA,NA
"15","a",0,"15 a",NA,33,"summer","field","S",5,"SD",3.21,5.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.17,14,NA,NA,NA
"15","a",5,"15 a",NA,18,"summer","field","S",5,"SD",1.48,3.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.27,10,NA,NA,NA
"15","a",10,"15 a",NA,11,"summer","field","S",5,"SD",0.99,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.2,9,NA,NA,NA
"15","a",20,"15 a",NA,5,"summer","field","S",5,"SD",0,0.890000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.2,7,NA,NA,NA
"15","a",30,"15 a",NA,2,"summer","field","S",5,"SD",0,0.349999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.17,4,NA,NA,NA
"15","a",40,"15 a",NA,0,"summer","field","S",5,"SD",0,0.0500000000000007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.15,3,NA,NA,NA
"15","a",50,"15 a",NA,0,"summer","field","S",5,"SD",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.1,0,NA,NA,NA
"15","b",-10,"15 b",NA,43,"summer","field","N",5,"SD",0,5.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0,29,NA,NA,NA
"15","b",0,"15 b",NA,-4,"summer","field","N",5,"SD",0,-0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.15,11,NA,NA,NA
"15","b",5,"15 b",NA,9,"summer","field","N",5,"SD",2.41,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.12,11,NA,NA,NA
"15","b",10,"15 b",NA,0,"summer","field","N",5,"SD",0,-0.0499999999999989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.17,7,NA,NA,NA
"15","b",20,"15 b",NA,-3,"summer","field","N",5,"SD",0,-0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.2,6,NA,NA,NA
"15","b",30,"15 b",NA,-3,"summer","field","N",5,"SD",0,-0.379999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.2,4,NA,NA,NA
"15","b",40,"15 b",NA,-3,"summer","field","N",5,"SD",0,-0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.2,0,NA,NA,NA
"15","b",50,"15 b",NA,0,"summer","field","N",5,"SD",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.17,0,NA,NA,NA
"15","c",-10,"15 c",NA,20,"summer","field","S",NA,"SD",0,4.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0,7,NA,NA,NA
"15","c",0,"15 c",NA,-2,"summer","field","S",NA,"SD",0.98,-0.489999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.17,3,NA,NA,NA
"15","c",5,"15 c",NA,-3,"summer","field","S",NA,"SD",0,-0.759999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.15,3,NA,NA,NA
"15","c",10,"15 c",NA,-2,"summer","field","S",NA,"SD",0,-0.539999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.15,2,NA,NA,NA
"15","c",20,"15 c",NA,-1,"summer","field","S",NA,"SD",1.46,-0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.12,0,NA,NA,NA
"15","c",30,"15 c",NA,-2,"summer","field","S",NA,"SD",0,-0.390000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.15,3,NA,NA,NA
"15","c",40,"15 c",NA,-2,"summer","field","S",NA,"SD",0,-0.440000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.19,1,NA,NA,NA
"15","c",50,"15 c",NA,0,"summer","field","S",NA,"SD",1.22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.1,0,NA,NA,NA
"15","d",-10,"15 d",NA,22,"summer","young.successional.forest","N",NA,"SD",0,5.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0,25,NA,NA,NA
"15","d",0,"15 d",NA,2,"summer","young.successional.forest","N",NA,"SD",0,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.41,5,NA,NA,NA
"15","d",5,"15 d",NA,3,"summer","young.successional.forest","N",NA,"SD",0,0.670000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.34,3,NA,NA,NA
"15","d",10,"15 d",NA,1,"summer","young.successional.forest","N",NA,"SD",0,0.390000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.36,1,NA,NA,NA
"15","d",20,"15 d",NA,1,"summer","young.successional.forest","N",NA,"SD",0,0.289999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.31,0,NA,NA,NA
"15","d",30,"15 d",NA,0,"summer","young.successional.forest","N",NA,"SD",0,-0.0500000000000007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.27,0,NA,NA,NA
"15","d",40,"15 d",NA,1,"summer","young.successional.forest","N",NA,"SD",0,0.330000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.31,1,NA,NA,NA
"15","d",50,"15 d",NA,0,"summer","young.successional.forest","N",NA,"SD",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD",0.34,0,NA,NA,NA
"19","a",-10,"19 a","N",-2,"summer",NA,NA,19,"SE",0.11,-0.270000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","a",-5,"19 a","N",-1,"summer",NA,NA,19,"SE",0.11,-0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","a",0,"19 a","N",-1,"summer",NA,NA,19,"SE",0.15,-0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","a",5,"19 a","N",-2,"summer",NA,NA,19,"SE",0.09,-0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","a",10,"19 a","N",-1,"summer",NA,NA,19,"SE",0.13,-0.200000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","a",20,"19 a","N",-1,"summer",NA,NA,19,"SE",0.07,-0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","a",30,"19 a","N",0,"summer",NA,NA,19,"SE",0.11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","b",-10,"19 b","Y",7,"summer",NA,NA,4,"SE",0.28,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","b",-5,"19 b","Y",6,"summer",NA,NA,4,"SE",0.31,0.969999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","b",0,"19 b","Y",5,"summer",NA,NA,4,"SE",0.13,0.809999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","b",5,"19 b","N",4,"summer",NA,NA,4,"SE",0.15,0.609999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","b",10,"19 b","N",3,"summer",NA,NA,4,"SE",0.09,0.390000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","b",20,"19 b","N",1,"summer",NA,NA,4,"SE",0.15,0.120000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","b",30,"19 b","N",0,"summer",NA,NA,4,"SE",0.15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,0,"20 NA",NA,-7,NA,NA,NA,NA,NA,NA,-1.02,NA,NA,NA,"SE",0.72,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,50,"20 NA",NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"SE",0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,-10,"24 NA",NA,3,"dry","pasture","S",NA,"SD",1.83,1.22,NA,NA,NA,"SD",2.6,-4,NA,NA,NA,"SD",1.69,29,NA,NA,NA,NA,NA,NA
"24",NA,0,"24 NA",NA,-1,"dry","pasture","S",NA,"SD",2.04,-0.479999999999997,NA,NA,NA,"SD",2.38,-8,NA,NA,NA,"SD",3.91,-10,NA,NA,NA,NA,NA,NA
"24",NA,10,"24 NA",NA,-2,"dry","pasture","S",NA,"SD",1.72,-0.630000000000003,NA,NA,NA,"SD",2.47,-8,NA,NA,NA,"SD",3.17,-12,NA,NA,NA,NA,NA,NA
"24",NA,25,"24 NA",NA,2,"dry","pasture","S",NA,"SD",0.87,0.700000000000003,NA,NA,NA,"SD",1.4,-6,NA,NA,NA,"SD",3.78,-4,NA,NA,NA,NA,NA,NA
"24",NA,40,"24 NA",NA,0,"dry","pasture","S",NA,"SD",1.03,-0.170000000000002,NA,NA,NA,"SD",1.85,-5,NA,NA,NA,"SD",6.19,-6,NA,NA,NA,NA,NA,NA
"24",NA,55,"24 NA",NA,3,"dry","pasture","S",NA,"SD",1.29,1.18,NA,NA,NA,"SD",2.15,-6,NA,NA,NA,"SD",3.09,-8,NA,NA,NA,NA,NA,NA
"24",NA,70,"24 NA",NA,1,"dry","pasture","S",NA,"SD",0.98,0.380000000000003,NA,NA,NA,"SD",2.53,-3,NA,NA,NA,"SD",1,-12,NA,NA,NA,NA,NA,NA
"24",NA,85,"24 NA",NA,0,"dry","pasture","S",NA,"SD",1.4,0,NA,NA,NA,"SD",1.78,0,NA,NA,NA,"SD",3.54,0,NA,NA,NA,NA,NA,NA
"25",NA,0,"25 NA",NA,8,NA,"grassland",NA,NA,"V",9.16,2.06,NA,NA,NA,NA,NA,NA,"V",74.8,4,"V",1.85,11,NA,NA,NA,"V",1.37,108
"25",NA,30,"25 NA",NA,6,NA,"grassland",NA,NA,"V",7.89,1.73,NA,NA,NA,NA,NA,NA,"V",16.13,3,"V",0.82,5,NA,NA,NA,"V",1.38,74
"25",NA,60,"25 NA",NA,7,NA,"grassland",NA,NA,"V",5.57,1.87,NA,NA,NA,NA,NA,NA,"V",28.89,-3,"V",0.93,5,NA,NA,NA,"V",0.06,-42
"25",NA,90,"25 NA",NA,7,NA,"grassland",NA,NA,"V",2.79,1.93,NA,NA,NA,NA,NA,NA,"V",10.57,-5,"V",1.28,7,NA,NA,NA,"V",0.09,-39
"25",NA,120,"25 NA",NA,1,NA,"grassland",NA,NA,"V",0.59,0.170000000000002,NA,NA,NA,NA,NA,NA,"V",8.22,3,"V",0.26,1,NA,NA,NA,"V",0.09,-61
"25",NA,150,"25 NA",NA,0,NA,"grassland",NA,NA,"V",0.52,0,NA,NA,NA,NA,NA,NA,"V",2.34,0,"V",0.02,0,NA,NA,NA,"V",0.27,0
"30","a",-10,"30 a",NA,4,"summer","field","NE",0.5,"SE",1.63,1.19,"SE",250.89,835,"SE",4.77,-2,"SE",1.75,99,"SE",0.56,10,NA,NA,NA,NA,NA,NA
"30","a",-5,"30 a",NA,2,"summer","field","NE",0.5,"SE",1.31,0.550000000000001,"SE",247.05,367,"SE",5.77,3,"SE",2.43,18,"SE",0.86,2,NA,NA,NA,NA,NA,NA
"30","a",0,"30 a",NA,-1,"summer","field","NE",0.5,"SE",1.06,-0.169999999999998,"SE",53.63,26,"SE",5.44,4,"SE",1.81,32,"SE",1.17,-1,NA,NA,NA,NA,NA,NA
"30","a",5,"30 a",NA,0,"summer","field","NE",0.5,"SE",1.3,-0.0700000000000003,"SE",130.23,100,"SE",5.66,4,"SE",1.88,2,"SE",0.81,-1,NA,NA,NA,NA,NA,NA
"30","a",10,"30 a",NA,0,"summer","field","NE",0.5,"SE",1.47,-0.0599999999999987,"SE",90.01,75,"SE",5.67,4,"SE",1.47,30,"SE",0.73,0,NA,NA,NA,NA,NA,NA
"30","a",15,"30 a",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SE",107.25,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","a",20,"30 a",NA,-1,"summer","field","NE",0.5,"SE",0.97,-0.189999999999998,"SE",107.25,79,"SE",5.77,1,"SE",2.08,24,"SE",1.12,1,NA,NA,NA,NA,NA,NA
"30","a",25,"30 a",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SE",42.14,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","a",30,"30 a",NA,0,"summer","field","NE",0.5,"SE",1.14,0,"SE",36.39,-19,"SE",6.55,0,"SE",2.02,0,"SE",0.69,0,NA,NA,NA,NA,NA,NA
"30","a",35,"30 a",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SE",47.88,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","b",-10,"30 b",NA,19,"summer","meadow","NW",0.5,"SE",2.28,5.57,"SE",38.3,1920,"SE",4.89,-21,"SE",2.15,58,"SE",1.3,23,NA,NA,NA,NA,NA,NA
"30","b",-5,"30 b",NA,10,"summer","meadow","NW",0.5,"SE",1.79,2.82,"SE",214.5,1510,"SE",4.33,-13,"SE",1.43,28,"SE",1.34,21,NA,NA,NA,NA,NA,NA
"30","b",0,"30 b",NA,-3,"summer","meadow","NW",0.5,"SE",1.62,-0.739999999999998,"SE",55.54,19,"SE",2.55,-5,"SE",0.58,10,"SE",0.9,3,NA,NA,NA,NA,NA,NA
"30","b",5,"30 b",NA,-2,"summer","meadow","NW",0.5,"SE",0.9,-0.649999999999999,"SE",135.98,103,"SE",1.89,2,"SE",0.55,5,"SE",0.56,1,NA,NA,NA,NA,NA,NA
"30","b",10,"30 b",NA,-4,"summer","meadow","NW",0.5,"SE",1.14,-1.2,"SE",107.25,35,"SE",2.11,1,"SE",0.95,5,"SE",0.78,1,NA,NA,NA,NA,NA,NA
"30","b",15,"30 b",NA,-2,"summer","meadow","NW",0.5,"SE",1.87,-0.539999999999999,"SE",88.09,51,"SE",3.11,-3,"SE",1.33,24,"SE",0.39,0,NA,NA,NA,NA,NA,NA
"30","b",20,"30 b",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SE",201.09,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","b",25,"30 b",NA,-3,"summer","meadow","NW",0.5,"SE",1.3,-1,"SE",111.08,-78,"SE",3.33,-2,"SE",1.27,62,"SE",0.57,0,NA,NA,NA,NA,NA,NA
"30","b",30,"30 b",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SE",72.77,-81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","b",35,"30 b",NA,0,"summer","meadow","NW",0.5,"SE",2.12,0,"SE",45.96,0,"SE",2.33,0,"SE",0.82,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,0,"31 NA",NA,6,"warm",NA,NA,NA,"SD",1.67,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,5,"31 NA",NA,2,"warm",NA,NA,NA,"SD",1.39,0.420000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,10,"31 NA",NA,1,"warm",NA,NA,NA,"SD",1.3,0.140000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,15,"31 NA",NA,1,"warm",NA,NA,NA,"SD",1.4,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,20,"31 NA",NA,0,"warm",NA,NA,NA,"SD",1.39,0.0500000000000007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,25,"31 NA",NA,2,"warm",NA,NA,NA,"SD",1.49,0.420000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,35,"31 NA",NA,3,"warm",NA,NA,NA,"SD",1.48,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,45,"31 NA",NA,3,"warm",NA,NA,NA,"SD",1.49,0.609999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,55,"31 NA",NA,2,"warm",NA,NA,NA,"SD",1.39,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,65,"31 NA",NA,1,"warm",NA,NA,NA,"SD",1.2,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,75,"31 NA",NA,2,"warm",NA,NA,NA,"SD",1.39,0.350000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
