article.id,segment_n,rel_humid,dist,humid_diff,stat_sig,percent_diff,season,matrix_type,edge_orient,edge_age_years,finer_scale,SD_SE_CI_V,SD_SE_CI_V_n,notes
43,1,66.64,0,NA,NA,NA,NA,ag.field,S,0,NA,SE,4.06,Brownfield.Woods
43,1,68.95,2,NA,NA,NA,NA,ag.field,S,0,NA,SE,6.8,Brownfield.Woods
43,1,67.97,5,NA,NA,NA,NA,ag.field,S,0,NA,SE,4.72,Brownfield.Woods
43,1,67.87,10,NA,NA,NA,NA,ag.field,S,0,NA,SE,5.59,Brownfield.Woods
43,1,70.61,15,NA,NA,NA,NA,ag.field,S,0,NA,SE,3.51,Brownfield.Woods
43,1,70.18,25,NA,NA,NA,NA,ag.field,S,0,NA,SE,4.83,Brownfield.Woods
43,1,68.32,40,NA,NA,NA,NA,ag.field,S,0,NA,SE,6.58,Brownfield.Woods
43,1,64.59,60,NA,NA,NA,NA,ag.field,S,0,NA,SE,6.91,Brownfield.Woods
43,1,68.22,80,NA,NA,NA,NA,ag.field,S,0,NA,SE,8.88,Brownfield.Woods
43,1,68.22,100,NA,NA,NA,NA,ag.field,S,0,NA,SE,5.48,Brownfield.Woods
43,1,67.35,175,NA,NA,NA,NA,ag.field,S,0,NA,SE,6.69,Brownfield.Woods
43,2,64.55,0,NA,NA,NA,NA,ag.field,N,0,NA,SE,5.27,Brownfield.Woods
43,2,64.67,2,NA,NA,NA,NA,ag.field,N,0,NA,SE,2.96,Brownfield.Woods
43,2,62.27,5,NA,NA,NA,NA,ag.field,N,0,NA,SE,1.64,Brownfield.Woods
43,2,65.23,10,NA,NA,NA,NA,ag.field,N,0,NA,NA,NA,Brownfield.Woods
43,2,66.34,15,NA,NA,NA,NA,ag.field,N,0,NA,NA,NA,Brownfield.Woods
43,2,66.23,25,NA,NA,NA,NA,ag.field,N,0,NA,SE,3.29,Brownfield.Woods
43,2,67.44,40,NA,NA,NA,NA,ag.field,N,0,NA,NA,NA,Brownfield.Woods
43,2,68.21,60,NA,NA,NA,NA,ag.field,N,0,NA,SE,3.18,Brownfield.Woods
43,2,68.65,80,NA,NA,NA,NA,ag.field,N,0,NA,NA,NA,Brownfield.Woods
43,2,68.88,100,NA,NA,NA,NA,ag.field,N,0,NA,SE,1.31,Brownfield.Woods
43,2,77.33,175,NA,NA,NA,NA,ag.field,N,0,NA,SE,4.93,Brownfield.Woods
43,3,63.68,0,NA,NA,NA,NA,ag.field,W,0,NA,SE,4.93,Brownfield.Woods
43,3,64.78,2,NA,NA,NA,NA,ag.field,W,0,NA,SE,8.34,Brownfield.Woods
43,3,65.23,5,NA,NA,NA,NA,ag.field,W,0,NA,SE,6.47,Brownfield.Woods
43,3,65.34,10,NA,NA,NA,NA,ag.field,W,0,NA,SE,5.82,Brownfield.Woods
43,3,67.43,15,NA,NA,NA,NA,ag.field,W,0,NA,SE,5.27,Brownfield.Woods
43,3,69.63,25,NA,NA,NA,NA,ag.field,W,0,NA,SE,3.95,Brownfield.Woods
43,3,71.94,40,NA,NA,NA,NA,ag.field,W,0,NA,SE,2.52,Brownfield.Woods
43,3,75.12,60,NA,NA,NA,NA,ag.field,W,0,NA,SE,3.4,Brownfield.Woods
43,3,75.13,80,NA,NA,NA,NA,ag.field,W,0,NA,SE,1.86,Brownfield.Woods
43,3,77.21,100,NA,NA,NA,NA,ag.field,W,0,NA,SE,4.17,Brownfield.Woods
43,3,81.82,175,NA,NA,NA,NA,ag.field,W,0,NA,SE,3.84,Brownfield.Woods
43,b,58.97,0,NA,NA,NA,NA,ag.field,W,0,NA,SE,1.71,Trelease.Woods
43,b,58.38,2,NA,NA,NA,NA,ag.field,W,0,NA,SE,4.94,Trelease.Woods
43,b,62.02,5,NA,NA,NA,NA,ag.field,W,0,NA,SE,3.12,Trelease.Woods
43,b,64.55,10,NA,NA,NA,NA,ag.field,W,0,NA,SE,2.52,Trelease.Woods
43,b,65.26,15,NA,NA,NA,NA,ag.field,W,0,NA,SE,3.23,Trelease.Woods
43,b,64.16,25,NA,NA,NA,NA,ag.field,W,0,NA,SE,2.92,Trelease.Woods
43,b,63.16,40,NA,NA,NA,NA,ag.field,W,0,NA,SE,6.65,Trelease.Woods
43,b,64.58,60,NA,NA,NA,NA,ag.field,W,0,NA,SE,4.44,Trelease.Woods
43,b,64.39,80,NA,NA,NA,NA,ag.field,W,0,NA,SE,3.33,Trelease.Woods
43,b,67.82,100,NA,NA,NA,NA,ag.field,W,0,NA,SE,4.23,Trelease.Woods
43,b,65.71,175,NA,NA,NA,NA,ag.field,W,0,NA,SE,7.16,Trelease.Woods
43,4,52.82,0,NA,NA,NA,NA,ag.field,N,0,NA,NA,NA,Trelease.Woods
43,4,55.25,2,NA,NA,NA,NA,ag.field,N,0,NA,NA,NA,Trelease.Woods
43,4,56.07,5,NA,NA,NA,NA,ag.field,N,0,NA,SE,2.42,Trelease.Woods
43,4,54.07,10,NA,NA,NA,NA,ag.field,N,0,NA,SE,1.61,Trelease.Woods
43,4,55.69,15,NA,NA,NA,NA,ag.field,N,0,NA,NA,NA,Trelease.Woods
43,4,55.09,25,NA,NA,NA,NA,ag.field,N,0,NA,SE,1.81,Trelease.Woods
43,4,57.92,40,NA,NA,NA,NA,ag.field,N,0,NA,SE,1.91,Trelease.Woods
43,4,57.32,60,NA,NA,NA,NA,ag.field,N,0,NA,NA,NA,Trelease.Woods
43,4,57.73,80,NA,NA,NA,NA,ag.field,N,0,NA,NA,NA,Trelease.Woods
43,4,60.56,100,NA,NA,NA,NA,ag.field,N,0,NA,SE,0,Trelease.Woods
43,4,54.72,175,NA,NA,NA,NA,ag.field,N,0,NA,NA,NA,Trelease.Woods
43,5,51.81,0,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Trelease.Woods
43,5,56.56,2,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Trelease.Woods
43,5,56.17,5,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Trelease.Woods
43,5,57.29,10,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Trelease.Woods
43,5,55.38,15,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Trelease.Woods
43,5,61.74,25,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Trelease.Woods
43,5,60.95,40,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Trelease.Woods
43,5,63.47,60,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Trelease.Woods
43,5,63.48,80,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Trelease.Woods
43,5,64.89,100,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Trelease.Woods
43,5,59.46,175,NA,NA,NA,NA,ag.field,S,0,NA,NA,NA,Trelease.Woods
43,6,53.02,0,NA,NA,NA,NA,ag.field,E,0,NA,NA,NA,Trelease.Woods
43,6,51.62,2,NA,NA,NA,NA,ag.field,E,0,NA,NA,NA,Trelease.Woods
43,6,53.05,5,NA,NA,NA,NA,ag.field,E,0,NA,NA,NA,Trelease.Woods
43,6,53.76,10,NA,NA,NA,NA,ag.field,E,0,NA,NA,NA,Trelease.Woods
43,6,53.97,15,NA,NA,NA,NA,ag.field,E,0,NA,NA,NA,Trelease.Woods
43,6,53.88,25,NA,NA,NA,NA,ag.field,E,0,NA,NA,NA,Trelease.Woods
43,6,54.29,40,NA,NA,NA,NA,ag.field,E,0,NA,NA,NA,Trelease.Woods
43,6,55.41,60,NA,NA,NA,NA,ag.field,E,0,NA,NA,NA,Trelease.Woods
43,6,55.01,80,NA,NA,NA,NA,ag.field,E,0,NA,NA,NA,Trelease.Woods
43,6,55.22,100,NA,NA,NA,NA,ag.field,E,0,NA,NA,NA,Trelease.Woods
43,6,53.92,175,NA,NA,NA,NA,ag.field,E,0,NA,NA,NA,Trelease.Woods
47,a,76.6,-20,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,a,78.67,-5,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,a,84.84,-2,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,a,88.95,0,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,a,89.64,2,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,a,90.33,5,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,a,90.56,10,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,a,90.57,15,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,a,91.95,25,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,a,92.88,40,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,a,94.96,60,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,a,95.67,80,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,b,78.33,-20,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,b,84.28,-5,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,b,87.94,-2,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,b,88.85,0,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,b,90.23,2,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,b,90.69,5,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,b,92.52,10,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,b,92.52,15,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,b,90.48,25,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,b,92.55,40,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,b,92.8,60,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,b,93.74,80,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,c,78.46,-20,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,c,80.76,-5,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,c,86.93,-2,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,c,89.21,0,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,c,90.13,2,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,c,90.36,5,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,c,92.65,10,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,c,91.97,15,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,c,94.49,25,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,c,94.05,40,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,c,96.61,80,NA,NA,NA,wet,savanna,NE,NA,daily,NA,NA,
47,1,68.61,-20,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,1,68.63,-5,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,1,76.17,-2,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,1,82.79,0,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,1,84.62,2,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,1,84.85,5,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,1,84.86,10,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,1,85.09,15,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,1,86.47,25,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,1,88.09,40,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,1,89.25,60,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,1,89.96,80,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,2,71.25,-20,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,2,74.24,-5,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,2,80.63,-2,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,2,83.15,0,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,2,84.52,2,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,2,84.98,5,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,2,87.04,10,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,2,87.27,15,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,2,85.23,25,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,2,87.07,40,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,2,87.32,60,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,2,88.03,80,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,3,70.47,-20,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,3,71.4,-5,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,3,80.76,-2,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,3,82.82,0,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,3,82.82,2,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,3,83.51,5,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,3,86.94,10,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,3,86.26,15,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,3,89.24,25,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,3,88.8,40,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
47,3,91.13,80,NA,NA,NA,dry,savanna,NE,NA,daily,NA,NA,
1,NA,NA,0,NA,NA,-15,dry,pasture,NA,18,NA,NA,NA,compare edge to interior
1,NA,NA,500,NA,NA,0,dry,pasture,NA,18,NA,NA,NA,compare edge to interior
40,NA,75.5,0,NA,Y,NA,dry,NA,NA,NA,NA,NA,NA,
40,NA,81.95,40,NA,Y,NA,dry,NA,NA,NA,NA,NA,NA,
44,NA,NA,0,0,NA,NA,NA,field,NA,NA,NA,SD,0,comparison to edge
44,NA,NA,2,5.8,NA,NA,NA,field,NA,NA,NA,SD,4.67,comparison to edge
44,NA,NA,7,7.38,NA,NA,NA,field,NA,NA,NA,SD,4.89,comparison to edge
44,NA,NA,12,8.02,NA,NA,NA,field,NA,NA,NA,SD,5.83,comparison to edge
